fecha	valor
12/2024	80.8
11/2024	76.4
10/2024	77.4
9/2024	80.7
8/2024	81.5
7/2024	84.3
6/2024	81.9
5/2024	83.7
4/2024	86.7
3/2024	85.6
2/2024	89.1
1/2024	81.2
12/2023	84.6
11/2023	91.5
10/2023	98.7
9/2023	102.7
8/2023	97.9
7/2023	84.6
6/2023	92.6
5/2023	88.1
4/2023	75.4
3/2023	95.7
2/2023	82.0
1/2023	89.2
12/2022	92.9
11/2022	99.8
10/2022	118.3
9/2022	121.0
8/2022	108.7
7/2022	104.7
6/2022	101.8
5/2022	93.6
4/2022	98.4
3/2022	88.8
2/2022	88.2
1/2022	83.6
12/2021	77.2
11/2021	78.0
10/2021	73.3
9/2021	67.4
8/2021	65.4
7/2021	66.9
6/2021	62.1
5/2021	59.5
4/2021	57.6
3/2021	55.5
2/2021	52.1
1/2021	49.0
12/2020	47.8
11/2020	44.4
10/2020	43.2
9/2020	44.2
8/2020	42.4
7/2020	43.8
6/2020	40.6
5/2020	38.6
4/2020	37.3
3/2020	49.5
2/2020	55.0
1/2020	56.6
12/2019	58.0
11/2019	57.6
10/2019	57.7
9/2019	54.5
8/2019	48.3
7/2019	56.5
6/2019	55.2
5/2019	62.0
4/2019	62.5
3/2019	61.3
2/2019	56.9
1/2019	53.3
12/2018	53.2
11/2018	60.6
10/2018	63.2
9/2018	62.8
8/2018	58.6
7/2018	60.9
6/2018	60.6
5/2018	58.2
4/2018	56.3
3/2018	54.2
2/2018	52.9
1/2018	54.3
12/2017	52.8
11/2017	49.7
10/2017	49.6
9/2017	50.3
8/2017	45.6
7/2017	45.5
6/2017	46.5
5/2017	50.0
4/2017	48.3
3/2017	52.2
2/2017	51.5
1/2017	53.0
12/2016	47.9
11/2016	45.3
10/2016	45.7
9/2016	43.1
8/2016	41.8
7/2016	42.8
6/2016	46.4
5/2016	42.3
4/2016	40.9
3/2016	36.8
2/2016	38.3
1/2016	38.6
12/2015	44.5
11/2015	46.6
10/2015	50.2
9/2015	45.9
8/2015	44.7
7/2015	56.3
6/2015	57.2
5/2015	60.8
4/2015	55.6
3/2015	56.9
2/2015	53.4
1/2015	49.3
12/2014	57.9
11/2014	62.7
10/2014	63.7
9/2014	67.7
8/2014	60.5
7/2014	71.4
6/2014	71.8
5/2014	68.3
4/2014	69.8
3/2014	65.6
2/2014	69.3
1/2014	64.5
12/2013	71.0
11/2013	69.6
10/2013	73.6
9/2013	76.2
8/2013	65.1
7/2013	66.8
6/2013	73.9
5/2013	59.3
4/2013	69.3
3/2013	74.2
2/2013	75.9
1/2013	70.1
12/2012	71.9
11/2012	73.6
10/2012	76.6
9/2012	76.7
8/2012	72.4
7/2012	73.1
6/2012	74.2
5/2012	81.6
4/2012	76.4
3/2012	80.2
2/2012	77.8
1/2012	75.8
12/2011	72.9
11/2011	73.9
10/2011	72.2
9/2011	71.5
8/2011	68.3
7/2011	71.8
6/2011	71.9
5/2011	74.9
4/2011	72.1
3/2011	76.0
2/2011	70.0
1/2011	64.6
12/2010	61.9
11/2010	57.2
10/2010	56.9
9/2010	57.4
8/2010	57.5
7/2010	56.2
6/2010	59.6
5/2010	59.8
4/2010	56.8
3/2010	53.9
2/2010	52.6
1/2010	50.7
12/2009	49.4
11/2009	49.4
10/2009	47.3
9/2009	50.1
8/2009	45.5
7/2009	45.6
6/2009	46.2
5/2009	42.2
4/2009	41.1
3/2009	41.3
2/2009	40.5
1/2009	43.8
12/2008	50.6
11/2008	61.8
10/2008	66.6
9/2008	72.7
8/2008	74.1
7/2008	76.3
6/2008	75.4
5/2008	73.2
4/2008	66.6
3/2008	62.9
2/2008	64.3
1/2008	63.8
12/2007	61.1
11/2007	64.3
10/2007	57.2
9/2007	58.1
8/2007	52.4
7/2007	57.4
6/2007	56.8
5/2007	51.5
4/2007	53.8
3/2007	51.8
2/2007	47.6
1/2007	51.2
12/2006	54.2
11/2006	51.3
10/2006	53.5
9/2006	55.8
8/2006	58.5
7/2006	58.8
6/2006	56.4
5/2006	58.7
4/2006	57.0
3/2006	54.3
2/2006	53.9
1/2006	53.6
12/2005	51.4
11/2005	52.0
10/2005	51.4
9/2005	54.0
8/2005	50.2
7/2005	49.3
6/2005	45.8
5/2005	42.3
4/2005	43.8
3/2005	42.3
2/2005	38.7
1/2005	36.5
12/2004	38.4
11/2004	40.4
10/2004	41.5
9/2004	40.2
8/2004	40.5
7/2004	36.5
6/2004	35.1
5/2004	36.2
4/2004	33.0
3/2004	32.6
2/2004	31.0
1/2004	33.0
12/2003	31.6
11/2003	32.3
10/2003	31.4
9/2003	32.8
8/2003	33.1
7/2003	31.7
6/2003	29.8
5/2003	29.8
4/2003	33.1
3/2003	37.4
2/2003	36.9
1/2003	37.1
12/2002	33.2
11/2002	33.0
10/2002	35.8
9/2002	33.8
8/2002	33.6
7/2002	32.7
6/2002	33.2
5/2002	34.2
4/2002	34.5
3/2002	33.1
2/2002	31.0
1/2002	31.1
12/2001	30.9
11/2001	30.9
10/2001	32.7
9/2001	36.4
8/2001	38.7
7/2001	37.9
6/2001	40.0
5/2001	37.9
4/2001	35.8
3/2001	37.1
2/2001	38.3
1/2001	36.8
12/2000	43.5
11/2000	44.3
10/2000	43.7
9/2000	41.4
8/2000	40.5
7/2000	37.5
6/2000	36.7
5/2000	34.5
4/2000	34.0
3/2000	35.2
2/2000	33.5
1/2000	32.4
12/1999	27.3
11/1999	24.2
10/1999	20.8
9/1999	23.3
8/1999	24.8
7/1999	18.1
6/1999	15.8
5/1999	15.6
4/1999	16.4
3/1999	14.0
2/1999	13.8
1/1999	12.9
12/1998	13.4
11/1998	14.1
10/1998	15.9
9/1998	14.2
8/1998	16.8
7/1998	14.4
6/1998	15.7
5/1998	17.5
4/1998	16.2
3/1998	18.2
2/1998	19.9
1/1998	20.2
12/1997	24.6
11/1997	23.6
10/1997	23.6
9/1997	22.4
8/1997	28.4
7/1997	22.0
6/1997	23.6
5/1997	20.7
4/1997	20.4
3/1997	22.6
2/1997	25.6
1/1997	24.7
12/1996	24.8
11/1996	23.2
10/1996	24.0
9/1996	21.0
8/1996	24.9
7/1996	20.6
6/1996	20.3
5/1996	21.9
4/1996	20.9
3/1996	19.1
2/1996	21.3
1/1996	21.0
12/1995	18.9
11/1995	18.5
10/1995	19.4
9/1995	18.1
8/1995	17.4
7/1995	19.4
6/1995	17.1
5/1995	19.6
4/1995	19.2
3/1995	20.7
2/1995	19.6
1/1995	20.3
12/1994	18.7
11/1994	20.5
10/1994	20.2
9/1994	17.8
8/1994	23.7
7/1994	18.6
6/1994	19.4
5/1994	19.7
4/1994	19.2
3/1994	21.3
2/1994	20.4
1/1994	19.4
12/1993	21.6
11/1993	15.5
10/1993	21.2
9/1993	19.1
8/1993	23.3
7/1993	19.7
6/1993	20.5
5/1993	20.4
4/1993	19.5
