annus;mes;observaciones;código; título; unidad; fuente; notas
1991;1;                  87,20000;612004;INDICE PRODUCCION CONSTRUCCION. TOTAL. ALEMANIA. CCAL;ÍNDICE;REFINITIV;Esta serie puede estar actualizada con cierto retardo respecto a la fuente..  
1991;2;                  61,60000;;;;
1991;3;                 111,10000;;;;
1991;4;                 117,30000;;;;
1991;5;                 116,30000;;;;
1991;6;                 121,70000;;;;
1991;7;                 121,50000;;;;
1991;8;                 113,70000;;;;
1991;9;                 129,40000;;;;
1991;10;                 129,40000;;;;
1991;11;                 120,70000;;;;
1991;12;                  84,60000;;;;
1992;1;                  85,60000;;;;
1992;2;                  91,30000;;;;
1992;3;                 121,50000;;;;
1992;4;                 127,10000;;;;
1992;5;                 128,70000;;;;
1992;6;                 132,60000;;;;
1992;7;                 128,40000;;;;
1992;8;                 125,10000;;;;
1992;9;                 139,60000;;;;
1992;10;                 136,40000;;;;
1992;11;                 128,20000;;;;
1992;12;                 100,50000;;;;
1993;1;                  87,50000;;;;
1993;2;                  86,40000;;;;
1993;3;                 124,80000;;;;
1993;4;                 132,30000;;;;
1993;5;                 133,40000;;;;
1993;6;                 137,40000;;;;
1993;7;                 134,50000;;;;
1993;8;                 132,20000;;;;
1993;9;                 145,00000;;;;
1993;10;                 145,20000;;;;
1993;11;                 126,30000;;;;
1993;12;                  93,10000;;;;
1994;1;                 101,20000;;;;
1994;2;                  89,70000;;;;
1994;3;                 140,10000;;;;
1994;4;                 141,50000;;;;
1994;5;                 141,20000;;;;
1994;6;                 148,30000;;;;
1994;7;                 145,80000;;;;
1994;8;                 141,10000;;;;
1994;9;                 155,10000;;;;
1994;10;                 158,60000;;;;
1994;11;                 152,50000;;;;
1994;12;                 111,80000;;;;
1995;1;                  89,50000;;;;
1995;2;                 110,70000;;;;
1995;3;                 137,30000;;;;
1995;4;                 145,70000;;;;
1995;5;                 145,10000;;;;
1995;6;                 148,60000;;;;
1995;7;                 149,10000;;;;
1995;8;                 140,00000;;;;
1995;9;                 151,50000;;;;
1995;10;                 152,00000;;;;
1995;11;                 146,80000;;;;
1995;12;                  92,80000;;;;
